title,url,category,technologies,english,experience
Middle/Senior Fullstack Engineer,https://djinni.co/jobs/484690-middle-senior-fullstack-engineer/,Python,"['Python', 'Flask', 'MySQL', 'PostgreSQL', 'React', 'JavaScript', 'JQuery', 'HTML & CSS']",Upper-Intermediate,3
"Junior/Middle full stack developer (Python + Vue.JS)
          

          

          
  
    
      $500-1500",https://djinni.co/jobs/415187-junior-middle-full-stack-developer-python-vue/,Python,"['Django', 'Python', 'Vue', 'Full Stack', 'Full-stack']",Intermediate,1
Junior Python/Full Stack Developer,https://djinni.co/jobs/484288-junior-python-full-stack-developer/,Python,"['Python', 'Full-stack Web Development', 'Django', 'JavaScript', 'Backend development']",Upper-Intermediate,0
"Middle Python Software Engineer (Prom.ua)
          

          

          
  
      до $3500",https://djinni.co/jobs/437957-middle-python-software-engineer-prom-ua-/,Python,,,2
"Middle Python Developer
          

          

          
  
    
      $3000-5000",https://djinni.co/jobs/445500-middle-python-developer/,Python,"['AWS', 'ETL']",Intermediate,3
"Solution Architect (Python)
          

          

          
  
      від $8000",https://djinni.co/jobs/484465-solution-architect-python-/,Python,['Python'],Intermediate,5
"Python Developer
          

          

          
  
    
      $2500-4000",https://djinni.co/jobs/484424-python-developer/,Python,"['Python', 'DRF', 'Django Rest Framework', 'AWS', 'Microservice architecture']",Intermediate,3
Middle Python Developer,https://djinni.co/jobs/463004-middle-python-developer/,Python,"['Python scripting', 'Python', 'web scraping']",Intermediate,2
"Full Stack Engineer (Linköping, Sweden)",https://djinni.co/jobs/436781-full-stack-engineer-linkoping-sweden-/,Python,"['Full Stack', 'Python', 'HTML', 'CSS', 'JavaScript', 'TypeScript']",Upper-Intermediate,2
"Software Testing/Verification Engineer (Python, Linux)",https://djinni.co/jobs/458057-software-testing-verification-engineer-python/,Python,"['Python', 'Linux virtualization', 'Jenkins CI', 'Bash', 'Docker', 'Kubernetes', 'Networking']",Upper-Intermediate,3
Senior Python Developer,https://djinni.co/jobs/256920-senior-python-developer/,Python,"['Python', 'Pandas', 'Machine Learning']",Upper-Intermediate,3
System integration engineer (Python),https://djinni.co/jobs/474809-system-integration-engineer-python-/,Python,"['Python', 'Docker', 'Prometheus', 'API']",Intermediate,3
Senior full stack python engineer,https://djinni.co/jobs/487503-senior-full-stack-python-engineer/,Python,"['Python .Core', 'JavaScript', 'Go Language', 'TypeScript']",Upper-Intermediate,3
Senior python software engineer,https://djinni.co/jobs/487502-senior-python-software-engineer/,Python,"['Python core', 'Cloud.AWS', 'REST API', 'Amazon API Gateway skills']",Upper-Intermediate,3
"Python Engineer with DevOps
          

          

          
  
    
      $5000-7000",https://djinni.co/jobs/475797-python-engineer-with-devops/,Python,"['Python', 'AWS']",Upper-Intermediate,3
Python Developer,https://djinni.co/jobs/475447-python-developer/,Python,['Python'],Upper-Intermediate,2
Senior/Middle Python Developer (web),https://djinni.co/jobs/487496-senior-middle-python-developer-web-/,Python,"['Python', 'Serverless', 'AWS']",Pre-Intermediate,3
Senior Python (AWS) Engineer,https://djinni.co/jobs/475418-senior-python-aws-engineer/,Python,"['Python', 'AWS', 'AWS Serverless Lambda', 'Docker', 'IaC', 'Knowledge of SQL']",Upper-Intermediate,5
"Senior Python Engineer, Ukraine",https://djinni.co/jobs/487483-senior-python-engineer-ukraine/,Python,"['Python', 'JavaScript', 'Linux', 'SDLC']",Upper-Intermediate,3
"Python developer (IST)
          

          

          
  
    
      $2500-5000",https://djinni.co/jobs/487466-python-developer-ist-/,Python,"['Python', 'DevOps', 'PostgreSQL', 'Django', 'REST', 'DRF', 'Celery']",Pre-Intermediate,3
API Developer (Located in EU),https://djinni.co/jobs/474518-api-developer-located-in-eu-/,Python,"['Linux', 'REST API']",Upper-Intermediate,5
Senior Python Engineer,https://djinni.co/jobs/487433-senior-python-engineer/,Python,"['Python', 'Linux', 'Java Script', 'SDLC']",Upper-Intermediate,3
"Python Developer
          

          

          
  
      до $6000",https://djinni.co/jobs/489032-python-developer/,Python,"['Python', 'RESTful API']",Upper-Intermediate,2
"Lead Software Engineer – Python/Azure
          

          

          
  
    
      $4500-6400",https://djinni.co/jobs/488604-lead-software-engineer-python-azure/,Python,"['Leadership & Team management', 'Python', 'DevOps', 'CI', 'CD', 'Azure']",Upper-Intermediate,5
Senior QA Automation Engineer,https://djinni.co/jobs/488996-senior-qa-automation-engineer/,Python,"['Linux', 'Embedded', 'Automated Testing', 'Python', 'Automation QA', 'QA', 'Networking']",Upper-Intermediate,5
